date,future_rv_20d,future_high_vol_event_q80,future_extreme_vol_event_q90,future_crisis_candidate_q95,flag_realized_vol,flag_vix_level,flag_vix_range,flag_drawdown,flag_selloff,flag_volume,flag_vol_acceleration,direction_tag,qrc_pred_future_rv_20d,model,pred_future_rv_20d,forecast_high_vol,forecast_extreme_vol,forecast_crisis_vol,confirm_score,forecast_regime,rf_qrc_second_encode_ring_level_rate_pred,esn_pred_future_rv_20d
2020-02-28,0.9232012495028388,True,True,True,True,True,True,True,False,False,True,selloff,0.168037998037758,Phase 2 final QRC,0.168037998037758,False,False,False,3,watch,,
2020-03-02,0.917891119139974,True,True,True,True,True,True,True,False,False,True,rally,0.1795258967728015,Phase 2 final QRC,0.1795258967728015,False,False,False,3,watch,,
2020-03-03,0.9136368908040716,True,True,True,True,True,True,True,True,False,True,selloff,0.2008559776537499,Phase 2 final QRC,0.2008559776537499,False,False,False,4,watch,,
2020-03-04,0.9165644585639228,True,True,True,True,True,True,True,False,True,True,rally,0.1581088215860857,Phase 2 final QRC,0.1581088215860857,False,False,False,4,watch,,
2020-03-05,0.91227602059658,True,True,True,True,True,True,True,True,False,True,selloff,0.1701796048807472,Phase 2 final QRC,0.1701796048807472,False,False,False,4,watch,,
2020-03-06,0.9118209191632692,True,True,True,True,True,True,True,True,False,True,selloff,0.1505659355111547,Phase 2 final QRC,0.1505659355111547,False,False,False,4,watch,,
2020-03-09,0.8951846172161024,True,True,True,True,True,True,True,True,False,True,selloff,0.1512270374643264,Phase 2 final QRC,0.1512270374643264,False,False,False,4,watch,,
2020-03-10,0.8770966391854239,True,True,True,True,True,True,True,False,False,True,rally,0.1450968662838652,Phase 2 final QRC,0.1450968662838652,False,False,False,3,watch,,
2020-03-11,0.8669279955686815,True,True,True,True,True,True,True,True,False,True,selloff,0.1646443177635535,Phase 2 final QRC,0.1646443177635535,False,False,False,4,watch,,
2020-03-12,0.7918335988644885,True,True,True,True,True,True,True,True,False,True,selloff,0.1643271884761148,Phase 2 final QRC,0.1643271884761148,False,False,False,4,watch,,
2020-03-13,0.737075713182344,True,True,True,True,True,True,True,False,False,True,rally,0.1995356928542202,Phase 2 final QRC,0.1995356928542202,False,False,False,3,watch,,
2020-03-16,0.6202516280015581,True,True,True,True,True,True,True,True,False,True,selloff,0.2036312258511114,Phase 2 final QRC,0.2036312258511114,False,False,False,4,watch,,
2020-03-17,0.596391325997834,True,True,True,True,True,True,True,False,False,True,rally,0.2164935897578968,Phase 2 final QRC,0.2164935897578968,True,False,False,3,warning,,
2020-03-18,0.567412198885068,True,True,True,True,True,True,True,True,False,True,selloff,0.2205572876639702,Phase 2 final QRC,0.2205572876639702,True,False,False,4,crisis_like,,
2020-03-19,0.5751985247258079,True,True,True,True,True,True,True,False,False,True,neutral,0.2206650014529429,Phase 2 final QRC,0.2206650014529429,True,False,False,3,warning,,
2020-03-20,0.5571200255544214,True,True,True,True,True,True,True,True,False,True,selloff,0.247166321485083,Phase 2 final QRC,0.247166321485083,True,False,False,4,crisis_like,,
2020-03-23,0.5602761724096167,True,True,True,True,True,True,True,True,False,False,selloff,0.2203154651788409,Phase 2 final QRC,0.2203154651788409,True,False,False,4,crisis_like,,
2020-03-24,0.4745536188236609,True,True,True,True,True,True,True,False,False,False,rally,0.1825493577062576,Phase 2 final QRC,0.1825493577062576,False,False,False,3,watch,,
2020-03-25,0.4716132414245852,True,True,True,True,True,True,True,False,False,False,rally,0.2549969798871414,Phase 2 final QRC,0.2549969798871414,True,False,False,3,warning,,
2020-03-26,0.4292513343637495,True,True,True,True,True,True,True,False,False,False,rally,0.2632865184283532,Phase 2 final QRC,0.2632865184283532,True,False,False,3,warning,,
2020-03-27,0.4187103627322876,True,True,True,True,True,True,True,True,False,False,selloff,0.2317888709056742,Phase 2 final QRC,0.2317888709056742,True,False,False,4,crisis_like,,
2020-03-30,0.4033810035455642,True,True,True,True,True,True,True,False,False,False,rally,0.2305761802340371,Phase 2 final QRC,0.2305761802340371,True,False,False,3,warning,,
2020-03-31,0.4102301509843103,True,True,True,True,True,True,True,True,False,False,selloff,0.2736319119940035,Phase 2 final QRC,0.2736319119940035,True,False,False,4,crisis_like,,
