model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
raw_last_baseline,train,5415,regression,0.0610388011594886,0.7896128804712804,0.09929261473339933,0.0747014317554211,,,,,,
raw_last_baseline,train,5415,q90_warning,,,,,0.6014760147601476,0.6014760147601476,0.6014760147601476,0.10009233610341643,0.6646184209421189,0.9130062252808041
raw_last_baseline,train,5415,q95_crisis,,,,,0.5830258302583026,0.5830258302583026,0.5830258302583026,0.050046168051708216,0.6153924250584868,0.9181656843784611
raw_last_baseline,val,1160,regression,0.053904351085432865,0.5297153361382319,0.06159294108086259,0.04458327537006843,,,,,,
raw_last_baseline,val,1160,q90_warning,,,,,0.05263157894736842,0.03125,0.0392156862745098,0.016379310344827588,0.082763426443076,0.7426307624113475
raw_last_baseline,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.008620689655172414,,
raw_last_baseline,test,1161,regression,0.09711360599299475,0.6099763037817262,0.12171584022776492,0.08548038264754503,,,,,,
raw_last_baseline,test,1161,q90_warning,,,,,0.4470588235294118,0.5891472868217055,0.5083612040133779,0.14642549526270457,0.5231434911171594,0.8361051018568595
raw_last_baseline,test,1161,q95_crisis,,,,,0.4393939393939394,0.5686274509803921,0.49572649572649574,0.056847545219638244,0.5689691582542981,0.7476594241300124
rydberg_temporal_features,train,5415,regression,0.08575111132487778,0.5115400210701132,0.09929261473339933,0.04218564451648355,,,,,,
rydberg_temporal_features,train,5415,q90_warning,,,,,0.5,0.5,0.5,0.10009233610341643,0.48242864111527933,0.8851969168162848
rydberg_temporal_features,train,5415,q95_crisis,,,,,0.5313653136531366,0.5313653136531366,0.5313653136531366,0.050046168051708216,0.5621487469721952,0.957723826849466
rydberg_temporal_features,val,1160,regression,0.06548336599573464,0.33950640744453736,0.06159294108086259,0.031838509516137405,,,,,,
rydberg_temporal_features,val,1160,q90_warning,,,,,0.012048192771084338,0.03125,0.017391304347826087,0.07155172413793104,0.0341130303091989,0.5865192819148937
rydberg_temporal_features,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.00603448275862069,,
rydberg_temporal_features,test,1161,regression,0.1113353668076521,0.41601680068016067,0.12171584022776492,0.039940093731262144,,,,,,
rydberg_temporal_features,test,1161,q90_warning,,,,,0.304,0.29457364341085274,0.2992125984251969,0.10766580534022395,0.36855954237413735,0.5731176011057029
rydberg_temporal_features,test,1161,q95_crisis,,,,,0.3448275862068966,0.5882352941176471,0.43478260869565216,0.07493540051679587,0.6162327844894158,0.927698286521816
raw_plus_rydberg_temporal,train,5415,regression,0.05914052369888952,0.804387833276903,0.09929261473339933,0.07565568076107575,,,,,,
raw_plus_rydberg_temporal,train,5415,q90_warning,,,,,0.6752767527675276,0.6752767527675276,0.6752767527675276,0.10009233610341643,0.7695366662430886,0.9593804403055318
raw_plus_rydberg_temporal,train,5415,q95_crisis,,,,,0.6863468634686347,0.6863468634686347,0.6863468634686347,0.050046168051708216,0.7724206434849286,0.9840849224977476
raw_plus_rydberg_temporal,val,1160,regression,0.05370966552339182,0.5135145042137526,0.06159294108086259,0.04082196109533457,,,,,,
raw_plus_rydberg_temporal,val,1160,q90_warning,,,,,0.0,0.0,0.0,0.008620689655172414,0.09315133042465176,0.7746564716312057
raw_plus_rydberg_temporal,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.002586206896551724,,
raw_plus_rydberg_temporal,test,1161,regression,0.09715199598514615,0.6080536086823045,0.12171584022776492,0.08371957857353743,,,,,,
raw_plus_rydberg_temporal,test,1161,q90_warning,,,,,0.28415300546448086,0.40310077519379844,0.3333333333333333,0.15762273901808785,0.3938315583776327,0.7593293672255272
raw_plus_rydberg_temporal,test,1161,q95_crisis,,,,,0.43548387096774194,0.5294117647058824,0.4778761061946903,0.053402239448751075,0.5754525147987612,0.8479420597067655
