model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
raw_last_baseline,train,5429,regression,0.06066940918628914,0.7923623812887689,0.09925112684832321,0.0748100618186624,,,,,,
raw_last_baseline,train,5429,q90_warning,,,,,0.5966850828729282,0.5966850828729282,0.5966850828729282,0.10001841959845276,0.6658422227276323,0.9140461452988168
raw_last_baseline,train,5429,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.05010130779149015,0.6151569675791164,0.918254314523948
raw_last_baseline,val,1163,regression,0.053071844347089454,0.5338039348070313,0.061320486238608425,0.04258049304996858,,,,,,
raw_last_baseline,val,1163,q90_warning,,,,,0.05263157894736842,0.03125,0.0392156862745098,0.01633705932932072,0.07886686650958155,0.7381741821396993
raw_last_baseline,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.008598452278589854,,
raw_last_baseline,test,1164,regression,0.09753319735530348,0.605748731792924,0.12158565476480242,0.08598615980901132,,,,,,
raw_last_baseline,test,1164,q90_warning,,,,,0.4550898203592814,0.5846153846153846,0.5117845117845118,0.14347079037800686,0.5338600959271201,0.8353444427912513
raw_last_baseline,test,1164,q95_crisis,,,,,0.4057971014492754,0.5490196078431373,0.4666666666666667,0.059278350515463915,0.5688146066626221,0.7569191198491976
rydberg_temporal_features,train,5429,regression,0.09018424082715688,0.41957232464185196,0.09925112684832321,0.03757452154772487,,,,,,
rydberg_temporal_features,train,5429,q90_warning,,,,,0.40515653775322286,0.40515653775322286,0.40515653775322286,0.10001841959845276,0.36800960636490015,0.8417122171891126
rydberg_temporal_features,train,5429,q95_crisis,,,,,0.3161764705882353,0.3161764705882353,0.3161764705882353,0.05010130779149015,0.2718364398268575,0.882930753744197
rydberg_temporal_features,val,1163,regression,0.07401898627386823,0.2525931259656809,0.061320486238608425,0.03802942322442759,,,,,,
rydberg_temporal_features,val,1163,q90_warning,,,,,0.0,0.0,0.0,0.06276870163370593,0.03307085671633687,0.5803768788682582
rydberg_temporal_features,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.040412725709372314,,
rydberg_temporal_features,test,1164,regression,0.12179332544568729,0.1886999338183329,0.12158565476480242,0.0433198143944836,,,,,,
rydberg_temporal_features,test,1164,q90_warning,,,,,0.10810810810810811,0.09230769230769231,0.0995850622406639,0.09536082474226804,0.13091203800187934,0.5557506323463771
rydberg_temporal_features,test,1164,q95_crisis,,,,,0.0,0.0,0.0,0.05154639175257732,0.041564398479523514,0.5176963867307929
raw_plus_rydberg_temporal,train,5429,regression,0.05937712281303327,0.8023760766605601,0.09925112684832321,0.07552999620778111,,,,,,
raw_plus_rydberg_temporal,train,5429,q90_warning,,,,,0.6095764272559853,0.6095764272559853,0.6095764272559853,0.10001841959845276,0.7194364422947898,0.954859941095278
raw_plus_rydberg_temporal,train,5429,q95_crisis,,,,,0.5735294117647058,0.5735294117647058,0.5735294117647058,0.05010130779149015,0.6522001142097404,0.9714501420114294
raw_plus_rydberg_temporal,val,1163,regression,0.05359570132037197,0.5310362500086662,0.061320486238608425,0.0446822464634261,,,,,,
raw_plus_rydberg_temporal,val,1163,q90_warning,,,,,0.07692307692307693,0.0625,0.06896551724137931,0.02235597592433362,0.0975436973285314,0.7321231211317417
raw_plus_rydberg_temporal,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.010318142734307825,,
raw_plus_rydberg_temporal,test,1164,regression,0.09869335665117407,0.5952581368705174,0.12158565476480242,0.08619924714029752,,,,,,
raw_plus_rydberg_temporal,test,1164,q90_warning,,,,,0.3945578231292517,0.4461538461538462,0.4187725631768953,0.12628865979381443,0.4572427347340816,0.7856420175569113
raw_plus_rydberg_temporal,test,1164,q95_crisis,,,,,0.3392857142857143,0.37254901960784315,0.35514018691588783,0.048109965635738834,0.39584784243490245,0.7125240033120166
